Book No.,Ship class,Ship class index,Ship type,Ship name,Variation num,Remodel level,Implemented at,Memo
249,Zara級,3,重巡洋艦,Pola,6,,,
250,秋津洲型,1,水上機母艦,秋津洲改,3,1,,
251,瑞穂型,1,水上機母艦,瑞穂,6,,,
252,夕雲型,14,駆逐艦,沖波,6,,,
253,夕雲型,3,駆逐艦,風雲,6,,,
254,陽炎型,16,駆逐艦,嵐,6,,,
255,陽炎型,17,駆逐艦,萩風,6,,,
256,陽炎型,14,駆逐艦,親潮,6,,,
257,白露型,8,駆逐艦,山風,6,,,
258,白露型,7,駆逐艦,海風,6,,,
259,白露型,9,駆逐艦,江風,6,,,
260,改風早型,1,補給艦,速吸,6,,,
261,翔鶴型,1,正規空母,翔鶴改二,3,2,,
262,翔鶴型,2,正規空母,瑞鶴改二,3,2,,
263,朝潮型,1,駆逐艦,朝潮改二,3,2,,
264,朝潮型,10,駆逐艦,霞改二,3,2,,
265,香取型,2,練習巡洋艦,鹿島,6,,2017-10-26T07:00:00+09:00,2017-10-26：3隻追加（鹿島、Верный、酒匂改）
266,翔鶴型,1,装甲空母,翔鶴改二甲,3,3,,
267,翔鶴型,2,装甲空母,瑞鶴改二甲,3,3,,
268,朝潮型,1,駆逐艦,朝潮改二丁,3,3,,
269,白露型,9,駆逐艦,江風改二,3,2,,
270,朝潮型,10,駆逐艦,霞改二乙,3,3,,
271,神風型,1,駆逐艦,神風,3,,,
272,神風型,2,駆逐艦,朝風,6,,,
273,神風型,3,駆逐艦,春風,6,,,
276,神風型,1,駆逐艦,神風改,3,1,,
281,睦月型,6,駆逐艦,水無月,6,,,
283,巡潜乙型,7,潜水艦,伊26,6,,,
286,吹雪型,10,駆逐艦,浦波,6,,,
287,長良型,5,軽巡洋艦,鬼怒改二,3,2,,
291,C.Teste級,1,水上機母艦,Commandant Teste,6,,,
